GEOID,locality,group,year,estimate_insured,estimate_uninsured,moe_insured,moe_uninsured,total_est,total_moe,percent_insured,percent_uninsured
51003,"Albemarle County, Virginia",Two or more races,2018,2014,180,369,106,2194,413,91.8,8.2
51003,"Albemarle County, Virginia",Hispanic or Latino,2018,4627,1486,417,417,6113,41,75.69,24.31
51003,"Albemarle County, Virginia",White non Hispanic,2018,76148,4561,851,622,80709,553,94.35,5.65
51003,"Albemarle County, Virginia",All,2017,95681,7825,965,803,103506,585,92.44,7.56
51003,"Albemarle County, Virginia",White alone,2017,78856,5650,881,710,84506,661,93.31,6.69
51003,"Albemarle County, Virginia",Black or African American alone,2017,8435,1309,451,387,9744,411,86.57,13.43
51003,"Albemarle County, Virginia",American Indian and Alaska Native alone,2017,206,2,82,28,208,94,99.04,0.96
51003,"Albemarle County, Virginia",Asian alone,2017,5014,188,193,64,5202,191,96.39,3.61
51003,"Albemarle County, Virginia",Native Hawaiian and Other Pacific Islander alone,2017,42,0,46,28,42,46,100,0
51003,"Albemarle County, Virginia",Some other race alone,2017,817,524,334,368,1341,455,60.92,39.08
51003,"Albemarle County, Virginia",Two or more races,2017,2311,152,381,95,2463,398,93.83,6.17
51003,"Albemarle County, Virginia",Hispanic or Latino,2017,4463,1447,493,481,5910,47,75.52,24.48
51003,"Albemarle County, Virginia",White non Hispanic,2017,75315,4745,747,566,80060,533,94.07,5.93
