GEOID,locality,tract,estimate,moe,total_units,percent,level,rent_burden,year,county,locality_num,tract_num,tractnames
51003010401,Albemarle County,Census Tract 104.01,251,115.84472366059664,501,50.1,Not burdened,Less than 30% household income,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Albemarle County,Census Tract 104.01,55,53,501,10.98,Severely Burdened,Over 50% household income,2022,Albemarle,003,010401,Stony Point-Keswick
51003010402,Albemarle County,Census Tract 104.02,37,36.52396473549935,203,18.23,Burdened,30% to 49% household income,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Albemarle County,Census Tract 104.02,67,41.012193308819754,203,33,Not burdened,Less than 30% household income,2022,Albemarle,003,010402,Village of Rivanna
51003010402,Albemarle County,Census Tract 104.02,40,52,203,19.7,Severely Burdened,Over 50% household income,2022,Albemarle,003,010402,Village of Rivanna
51003010501,Albemarle County,Census Tract 105.01,11,25.729360660537214,181,6.08,Burdened,30% to 49% household income,2022,Albemarle,003,010501,Darden-Key West
51003010501,Albemarle County,Census Tract 105.01,87,82.87339742040264,181,48.07,Not burdened,Less than 30% household income,2022,Albemarle,003,010501,Darden-Key West
51003010501,Albemarle County,Census Tract 105.01,83,70,181,45.86,Severely Burdened,Over 50% household income,2022,Albemarle,003,010501,Darden-Key West
51003010502,Albemarle County,Census Tract 105.02,376,205.38256985440609,1153,32.61,Burdened,30% to 49% household income,2022,Albemarle,003,010502,Pantops
51003010502,Albemarle County,Census Tract 105.02,455,165.91865476793137,1153,39.46,Not burdened,Less than 30% household income,2022,Albemarle,003,010502,Pantops
51003010502,Albemarle County,Census Tract 105.02,273,125,1153,23.68,Severely Burdened,Over 50% household income,2022,Albemarle,003,010502,Pantops
51003010602,Albemarle County,Census Tract 106.02,111,71.84705978674423,730,15.21,Burdened,30% to 49% household income,2022,Albemarle,003,010602,Dunlora-Stone Henge
51003010602,Albemarle County,Census Tract 106.02,462,178.77080298527497,730,63.29,Not burdened,Less than 30% household income,2022,Albemarle,003,010602,Dunlora-Stone Henge
51003010602,Albemarle County,Census Tract 106.02,157,67,730,21.51,Severely Burdened,Over 50% household income,2022,Albemarle,003,010602,Dunlora-Stone Henge
51003010603,Albemarle County,Census Tract 106.03,344,230.44739095941182,764,45.03,Burdened,30% to 49% household income,2022,Albemarle,003,010603,Branchland
51003010603,Albemarle County,Census Tract 106.03,174,83.7973746605465,764,22.77,Not burdened,Less than 30% household income,2022,Albemarle,003,010603,Branchland
51003010603,Albemarle County,Census Tract 106.03,202,84,764,26.44,Severely Burdened,Over 50% household income,2022,Albemarle,003,010603,Branchland
51003010604,Albemarle County,Census Tract 106.04,131,99.61425600786265,535,24.49,Burdened,30% to 49% household income,2022,Albemarle,003,010604,Woodbrook-Carrsbrook
51003010604,Albemarle County,Census Tract 106.04,282,150.2431362824938,535,52.71,Not burdened,Less than 30% household income,2022,Albemarle,003,010604,Woodbrook-Carrsbrook
51003010604,Albemarle County,Census Tract 106.04,113,86,535,21.12,Severely Burdened,Over 50% household income,2022,Albemarle,003,010604,Woodbrook-Carrsbrook
51003010701,Albemarle County,Census Tract 107.01,287,153.3525350295847,1198,23.96,Burdened,30% to 49% household income,2022,Albemarle,003,010701,Hydraulic
51003010701,Albemarle County,Census Tract 107.01,563,196.60874853373133,1198,46.99,Not burdened,Less than 30% household income,2022,Albemarle,003,010701,Hydraulic
51003010701,Albemarle County,Census Tract 107.01,339,226,1198,28.3,Severely Burdened,Over 50% household income,2022,Albemarle,003,010701,Hydraulic
51003010702,Albemarle County,Census Tract 107.02,71,68.30080526611674,598,11.87,Burdened,30% to 49% household income,2022,Albemarle,003,010702,Commonwealth-Townwood-Berkmar
51003010702,Albemarle County,Census Tract 107.02,355,154.05518491761322,598,59.36,Not burdened,Less than 30% household income,2022,Albemarle,003,010702,Commonwealth-Townwood-Berkmar
51003010702,Albemarle County,Census Tract 107.02,158,135,598,26.42,Severely Burdened,Over 50% household income,2022,Albemarle,003,010702,Commonwealth-Townwood-Berkmar
51003010801,Albemarle County,Census Tract 108.01,351,141.58036587041298,1141,30.76,Burdened,30% to 49% household income,2022,Albemarle,003,010801,Barracks-Hessian Hills
51003010801,Albemarle County,Census Tract 108.01,460,184.14668066516975,1141,40.32,Not burdened,Less than 30% household income,2022,Albemarle,003,010801,Barracks-Hessian Hills
51003010801,Albemarle County,Census Tract 108.01,321,118,1141,28.13,Severely Burdened,Over 50% household income,2022,Albemarle,003,010801,Barracks-Hessian Hills
51003010802,Albemarle County,Census Tract 108.02,142,70.32069396699666,563,25.22,Burdened,30% to 49% household income,2022,Albemarle,003,010802,Albemarle High School
51003010802,Albemarle County,Census Tract 108.02,254,152.1380951635717,563,45.12,Not burdened,Less than 30% household income,2022,Albemarle,003,010802,Albemarle High School
51003010802,Albemarle County,Census Tract 108.02,147,114,563,26.11,Severely Burdened,Over 50% household income,2022,Albemarle,003,010802,Albemarle High School
51003010901,Albemarle County,Census Tract 109.01,115,50.96076922496363,541,21.26,Burdened,30% to 49% household income,2022,Albemarle,003,010901,Old Ivy-Darden School (UVA)
51003010901,Albemarle County,Census Tract 109.01,192,66.86553671361654,541,35.49,Not burdened,Less than 30% household income,2022,Albemarle,003,010901,Old Ivy-Darden School (UVA)
51003010901,Albemarle County,Census Tract 109.01,155,46,541,28.65,Severely Burdened,Over 50% household income,2022,Albemarle,003,010901,Old Ivy-Darden School (UVA)
51003010904,Albemarle County,Census Tract 109.04,115,70.58328414008518,478,24.06,Burdened,30% to 49% household income,2022,Albemarle,003,010904,Carr's Hill-McCormick Road (UVA)
51003010904,Albemarle County,Census Tract 109.04,193,72.15261603018979,478,40.38,Not burdened,Less than 30% household income,2022,Albemarle,003,010904,Carr's Hill-McCormick Road (UVA)
51003010904,Albemarle County,Census Tract 109.04,156,75,478,32.64,Severely Burdened,Over 50% household income,2022,Albemarle,003,010904,Carr's Hill-McCormick Road (UVA)
51003011000,Albemarle County,Census Tract 110,38,45.8475735453906,227,16.74,Burdened,30% to 49% household income,2022,Albemarle,003,011000,Ivy
51003011000,Albemarle County,Census Tract 110,140,104.24970023937719,227,61.67,Not burdened,Less than 30% household income,2022,Albemarle,003,011000,Ivy
51003011000,Albemarle County,Census Tract 110,25,28,227,11.01,Severely Burdened,Over 50% household income,2022,Albemarle,003,011000,Ivy
51003011101,Albemarle County,Census Tract 111.01,16,25.514701644346147,270,5.93,Burdened,30% to 49% household income,2022,Albemarle,003,011101,Crozet-Beaver Creek
51003011101,Albemarle County,Census Tract 111.01,84,66.51315659326356,270,31.11,Not burdened,Less than 30% household income,2022,Albemarle,003,011101,Crozet-Beaver Creek
51003011101,Albemarle County,Census Tract 111.01,55,47,270,20.37,Severely Burdened,Over 50% household income,2022,Albemarle,003,011101,Crozet-Beaver Creek
51003011102,Albemarle County,Census Tract 111.02,4,22.516660498395403,247,1.62,Burdened,30% to 49% household income,2022,Albemarle,003,011102,Western Ridge-Westhall
51003011102,Albemarle County,Census Tract 111.02,239,190.68298298484845,247,96.76,Not burdened,Less than 30% household income,2022,Albemarle,003,011102,Western Ridge-Westhall
51003011102,Albemarle County,Census Tract 111.02,0,13,247,0,Severely Burdened,Over 50% household income,2022,Albemarle,003,011102,Western Ridge-Westhall
51003011103,Albemarle County,Census Tract 111.03,100,74.17546764261078,376,26.6,Burdened,30% to 49% household income,2022,Albemarle,003,011103,Old Trail
51003011103,Albemarle County,Census Tract 111.03,179,95.4148835350125,376,47.61,Not burdened,Less than 30% household income,2022,Albemarle,003,011103,Old Trail
51003011103,Albemarle County,Census Tract 111.03,97,97,376,25.8,Severely Burdened,Over 50% household income,2022,Albemarle,003,011103,Old Trail
51003011201,Albemarle County,Census Tract 112.01,98,66.87301398920195,392,25,Burdened,30% to 49% household income,2022,Albemarle,003,011201,"Yancey Mills, Batesville"
51003011201,Albemarle County,Census Tract 112.01,126,86.52745229116596,392,32.14,Not burdened,Less than 30% household income,2022,Albemarle,003,011201,"Yancey Mills, Batesville"
51003011201,Albemarle County,Census Tract 112.01,73,61,392,18.62,Severely Burdened,Over 50% household income,2022,Albemarle,003,011201,"Yancey Mills, Batesville"
51003011202,Albemarle County,Census Tract 112.02,15,30.23243291566195,138,10.87,Burdened,30% to 49% household income,2022,Albemarle,003,011202,North Garden
51003011202,Albemarle County,Census Tract 112.02,106,47.74934554525329,138,76.81,Not burdened,Less than 30% household income,2022,Albemarle,003,011202,North Garden
51003011202,Albemarle County,Census Tract 112.02,8,12,138,5.8,Severely Burdened,Over 50% household income,2022,Albemarle,003,011202,North Garden
51003011301,Albemarle County,Census Tract 113.01,69,56.73623181001713,413,16.71,Burdened,30% to 49% household income,2022,Albemarle,003,011301,"Monticello, Carters Mountain"
51003011301,Albemarle County,Census Tract 113.01,229,140.86518377512593,413,55.45,Not burdened,Less than 30% household income,2022,Albemarle,003,011301,"Monticello, Carters Mountain"
51003011301,Albemarle County,Census Tract 113.01,32,37,413,7.75,Severely Burdened,Over 50% household income,2022,Albemarle,003,011301,"Monticello, Carters Mountain"
51003011302,Albemarle County,Census Tract 113.02,131,82.05485969764375,1442,9.08,Burdened,30% to 49% household income,2022,Albemarle,003,011302,"Oak Hill, Southwood"
51003011302,Albemarle County,Census Tract 113.02,934,272.4738519564767,1442,64.77,Not burdened,Less than 30% household income,2022,Albemarle,003,011302,"Oak Hill, Southwood"
51003011302,Albemarle County,Census Tract 113.02,340,106,1442,23.58,Severely Burdened,Over 50% household income,2022,Albemarle,003,011302,"Oak Hill, Southwood"
51003011303,Albemarle County,Census Tract 113.03,192,109.45775440780794,797,24.09,Burdened,30% to 49% household income,2022,Albemarle,003,011303,Avon Street Ext.-Mill Creek
51003011303,Albemarle County,Census Tract 113.03,382,111.84811129384349,797,47.93,Not burdened,Less than 30% household income,2022,Albemarle,003,011303,Avon Street Ext.-Mill Creek
51003011303,Albemarle County,Census Tract 113.03,198,86,797,24.84,Severely Burdened,Over 50% household income,2022,Albemarle,003,011303,Avon Street Ext.-Mill Creek
51003011400,Albemarle County,Census Tract 114,73,42.59107887809371,351,20.8,Burdened,30% to 49% household income,2022,Albemarle,003,011400,Southern Albemarle-Scottsville
51003011400,Albemarle County,Census Tract 114,161,68.94200461257273,351,45.87,Not burdened,Less than 30% household income,2022,Albemarle,003,011400,Southern Albemarle-Scottsville
51003011400,Albemarle County,Census Tract 114,36,44,351,10.26,Severely Burdened,Over 50% household income,2022,Albemarle,003,011400,Southern Albemarle-Scottsville
